"proptime","growth_curve","pred_curve","fitness","NCE_CE","mu_g"
0.2,0.822510822510823,0.34,0.482510822510822,0.522026992615228,0.413368421052632
0.19,0.826839826839827,0.343,0.483839826839827,0.504840154985927,0.414832460732984
0.18,0.831168831168831,0.346,0.485168831168831,0.487951355003378,0.41628125
0.17,0.835497835497836,0.349,0.486497835497835,0.471352906882993,0.417715025906736
0.16,0.83982683982684,0.352,0.48782683982684,0.455037386855569,0.419134020618557
0.15,0.844155844155844,0.355,0.489155844155844,0.438997622096214,0.420538461538462
0.14,0.848484848484848,0.358,0.490484848484848,0.423226680209921,0.421928571428572
0.13,0.852813852813853,0.361,0.491813852813853,0.407717859241405,0.423304568527919
0.12,0.857142857142857,0.364,0.493142857142857,0.392464678178964,0.424666666666667
0.11,0.861471861471861,0.367,0.494471861471861,0.377460867924083,0.426015075376884
0.1,0.865800865800866,0.37,0.495800865800866,0.362700362700363,0.42735
0.09,0.87012987012987,0.373,0.49712987012987,0.348177291877024,0.428671641791045
0.08,0.874458874458874,0.376,0.498458874458874,0.333885972183844,0.429980198019802
0.07,0.878787878787879,0.379,0.499787878787879,0.319820900295834,0.431275862068966
