"trait","speed","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0.32,0.68,0.950310559006211,0.625533187317157,0.324777371689054,0.0794353393253223,0.658240804954656
0.33,0.67,0.94811320754717,0.617071600260965,0.331041607286205,0.0840855298329834,0.650841687837435
0.34,0.66,0.945859872611465,0.608620341656595,0.33723953095487,0.0889555009633293,0.643457196229531
0.35,0.65,0.943548387096774,0.600179847815511,0.343368539281263,0.0940578280138762,0.636088043838661
0.36,0.64,0.941176470588235,0.59175057937074,0.349425891217495,0.0994059515316688,0.628734990581411
0.37,0.63,0.938741721854305,0.58333302294955,0.355408698904755,0.105014246983568,0.621398846316628
0.38,0.62,0.936241610738255,0.57492769298183,0.361313917756425,0.11089810082215,0.614080474941166
0.39,0.61,0.933673469387755,0.566535133656737,0.367138335731019,0.117073993600602,0.606780798889182
0.4,0.6,0.931034482758621,0.558155921041424,0.372878561717197,0.123559590862534,0.599500804081529
0.41,0.59,0.928321678321678,0.549790665377142,0.378531012944537,0.130373842613629,0.592241545378013
0.42,0.58,0.925531914893617,0.541440013569534,0.384091901324083,0.137537092272586,0.585004152592371
0.43,0.57,0.922661870503597,0.533104651891739,0.389557218611859,0.145071196099989,0.577789837138025
0.44,0.56,0.91970802919708,0.524785308920841,0.394922720276239,0.152999654216751,0.570599899382184
0.45,0.55,0.916666666666667,0.516482758730405,0.400183907936262,0.16134775445008,0.563435736796806
0.46,0.54,0.913533834586466,0.508197824364188,0.405336010222278,0.170142730385973,0.556298853007712
0.47,0.53,0.91030534351145,0.499931381618833,0.410373961892617,0.179413935164679,0.549190867858006
0.48,0.52,0.906976744186046,0.491684363166283,0.415292381019763,0.189193032731232,0.542113528619235
0.49,0.51,0.903543307086614,0.483457763049936,0.420085544036678,0.199514208448904,0.535068722504069
0.5,0.5,0.9,0.475252641592196,0.424747358407804,0.210414401201389,0.528058490657995
0.51,0.49,0.896341463414634,0.467070130755081,0.429271332659553,0.221933559351757,0.521085043835601
0.52,0.48,0.892561983471074,0.45891144,0.433650543471074,0.234114923195041,0.51415078
0.53,0.47,0.888655462184874,0.450777862697666,0.437877599487208,0.247005336838833,0.507258304123142
0.54,0.46,0.884615384615385,0.442670783144511,0.441944601470874,0.260655592774796,0.500410450511186
0.55,0.45,0.880434782608696,0.434591684247835,0.445843098360861,0.275120812765298,0.493610308034578
0.56,0.44,0.876106194690266,0.426542155948345,0.44956403874192,0.29046086906528,0.486861248708717
0.57,0.43,0.871621621621622,0.418523904455709,0.453097717165912,0.306740850430836,0.480166960150736
0.58,0.42,0.86697247706422,0.410538762380287,0.456433714683933,0.324031577833215,0.473531482533876
0.59,0.41,0.86214953271028,0.402588699852244,0.459560832858036,0.342410175298792,0.466959250777129
0.6,0.4,0.857142857142857,0.394675836727814,0.462467020415043,0.361960701829496,0.460455142849116
0.61,0.39,0.851941747572815,0.386802455991397,0.465139291581419,0.382774850918934,0.454024535237765
0.62,0.38,0.846534653465347,0.378971018471399,0.467563634993947,0.404952724758913,0.447673366849255
0.63,0.37,0.840909090909091,0.371184178996923,0.469724911912168,0.428603690816865,0.441408212861205
